date,kc1_close,kc2_close,kc3_close,atm_iv_30d,kc1_kc2_spread,kc2_kc3_spread,hv30,hv60,iv_hv30_ratio,atm_iv_zscore_1yr,iv_hv30_ratio_zscore,kc1_kc2_zscore
2025-09-22,321.05,276.2,299.25,40.06,44.85,-23.05,46.73,46.56,0.8573,,,
2025-09-23,311.25,270.6,291.55,39.95,40.65,-20.95,47.01,47.01,0.8498,,,
2025-09-24,323.15,281.6,303.0,40.13,41.55,-21.4,47.66,47.58,0.842,,,
2025-09-25,324.9,282.55,303.6,40.8,42.35,-21.05,47.55,47.25,0.858,,,
2025-09-26,332.8,290.85,311.95,41.55,41.95,-21.1,47.72,47.47,0.8707,,,
2025-09-29,332.35,292.0,312.5,41.93,40.35,-20.5,46.55,47.3,0.9008,,,
2025-09-30,336.4,296.8,316.6,41.49,39.6,-19.8,46.59,46.35,0.8905,,,
2025-10-01,346.25,334.95,326.8,40.51,11.3,8.15,46.17,46.41,0.8774,,,
2025-10-02,340.85,329.8,321.9,40.43,11.05,7.9,46.28,46.54,0.8736,,,
2025-10-03,351.4,339.8,331.25,40.6,11.6,8.55,46.36,46.83,0.8758,,,
2025-10-06,342.3,330.7,322.2,40.08,11.6,8.5,45.93,47.19,0.8726,,,
2025-10-07,336.15,324.2,315.5,40.38,11.95,8.7,46.19,45.98,0.8742,,,
2025-10-08,344.2,332.25,323.7,40.28,11.95,8.55,46.57,46.09,0.8649,,,
2025-10-09,336.55,325.1,316.75,40.55,11.45,8.35,46.45,45.6,0.873,,,
2025-10-10,332.25,320.9,312.7,40.04,11.35,8.2,46.34,45.67,0.864,,,
2025-10-13,342.45,330.85,322.45,40.4,11.6,8.4,47.0,45.98,0.8596,,,
2025-10-14,349.2,336.2,327.1,40.98,13.0,9.1,45.46,45.34,0.9015,,,
2025-10-15,344.45,331.1,321.3,41.1,13.35,9.8,45.62,40.96,0.9009,,,
2025-10-16,345.1,331.85,321.95,41.05,13.25,9.9,45.62,40.87,0.8998,,,
2025-10-17,346.0,332.9,323.05,41.03,13.1,9.85,45.61,40.85,0.8996,,,
2025-10-20,352.25,338.15,327.5,40.13,14.1,10.65,45.09,40.64,0.89,,,
2025-10-21,360.45,346.05,335.35,40.47,14.4,10.7,45.44,40.75,0.8906,,,
2025-10-22,365.95,350.8,339.25,40.79,15.15,11.55,45.52,40.63,0.8961,,,
2025-10-23,356.9,340.95,328.45,41.48,15.95,12.5,46.17,40.97,0.8984,,,
2025-10-24,352.25,336.65,324.25,41.42,15.6,12.4,45.91,41.13,0.9022,,,
2025-10-27,340.9,327.4,316.3,41.23,13.5,11.1,44.57,40.79,0.9251,,,
2025-10-28,337.75,324.7,314.05,42.07,13.05,10.65,44.0,40.82,0.9561,,,
2025-10-29,343.3,330.15,319.45,41.29,13.15,10.7,34.99,40.57,1.1801,,,
2025-10-30,344.85,331.45,320.55,41.02,13.4,10.9,34.97,40.36,1.173,,,
2025-10-31,343.35,329.65,318.7,40.57,13.7,10.95,32.39,40.29,1.2525,,,
2025-11-03,356.0,341.05,329.45,40.79,14.95,11.6,33.83,40.45,1.2057,,,
2025-11-04,356.45,342.0,330.4,41.09,14.45,11.6,32.23,40.0,1.2749,,,
2025-11-05,366.15,352.05,340.55,41.52,14.1,11.5,31.42,40.02,1.3215,,,
2025-11-06,351.75,339.05,329.0,41.49,12.7,10.05,33.93,40.97,1.2228,,,
2025-11-07,357.05,343.95,333.85,41.36,13.1,10.1,33.53,40.91,1.2335,,,
2025-11-10,363.9,350.85,341.2,41.49,13.05,9.65,33.86,40.36,1.2253,,,
2025-11-11,368.55,355.4,346.2,41.53,13.15,9.2,33.87,40.39,1.2262,,,
2025-11-12,346.45,333.65,324.7,41.84,12.8,8.95,37.83,41.89,1.106,,,
2025-11-13,344.65,332.7,324.45,40.94,11.95,8.25,37.57,41.8,1.0897,,,
2025-11-14,342.4,330.8,323.1,40.26,11.6,7.7,36.51,41.41,1.1027,,,
2025-11-17,343.7,331.95,323.7,39.61,11.75,8.25,35.73,40.8,1.1086,,,
2025-11-18,354.35,341.45,332.2,38.94,12.9,9.25,36.34,41.28,1.0715,,,
2025-11-19,342.25,330.35,322.1,38.88,11.9,8.25,37.22,41.8,1.0446,,,
2025-11-20,344.35,332.25,324.1,38.46,12.1,8.15,36.65,41.52,1.0494,,,
2025-11-21,337.6,326.35,319.25,38.04,11.25,7.1,36.92,41.57,1.0303,,,
2025-11-24,343.6,331.9,324.2,37.26,11.7,7.7,36.22,41.61,1.0287,,,
2025-11-25,350.7,339.05,331.4,36.44,11.65,7.65,36.26,40.78,1.005,,,
2025-11-26,348.0,336.35,327.8,35.97,11.65,8.55,36.1,40.79,0.9964,,,
2025-11-28,349.55,338.1,330.2,36.17,11.45,7.9,36.12,40.79,1.0014,,,
2025-12-01,348.3,337.35,329.8,35.5,10.95,7.55,36.13,40.8,0.9826,,,
2025-12-02,342.0,331.0,322.8,35.06,11.0,8.2,36.12,40.52,0.9707,,,
2025-12-03,341.6,330.75,322.25,34.68,10.85,8.5,35.39,40.47,0.9799,,,
2025-12-04,349.55,338.5,329.9,35.01,11.05,8.6,35.79,40.67,0.9782,,,
2025-12-05,343.85,332.9,324.45,34.67,10.95,8.45,35.38,40.81,0.9799,,,
2025-12-08,335.3,324.45,315.95,34.92,10.85,8.5,35.9,40.87,0.9727,,,
2025-12-09,338.15,327.5,319.15,34.76,10.65,8.35,34.77,39.69,0.9997,,,
2025-12-10,342.3,331.85,323.4,34.79,10.45,8.45,34.84,39.42,0.9986,,,
2025-12-11,345.9,335.5,327.0,35.33,10.4,8.5,34.65,34.54,1.0196,,,
2025-12-12,341.0,330.75,322.4,35.38,10.25,8.35,34.88,34.65,1.0143,,,
2025-12-15,333.25,324.3,316.65,36.05,8.95,7.65,35.48,33.79,1.0161,,,
2025-12-16,325.85,317.35,310.35,36.78,8.5,7.0,34.19,34.1,1.0758,,,
2025-12-17,321.15,313.45,307.25,37.37,7.7,6.2,34.32,33.62,1.0889,,,
2025-12-18,319.15,311.4,305.3,37.27,7.75,6.1,33.1,32.75,1.126,,,
2025-12-19,316.65,309.25,285.35,37.45,7.4,23.9,31.36,32.77,1.1942,,,
2025-12-22,323.4,315.85,291.15,37.32,7.55,24.7,31.73,32.68,1.1762,,,
2025-12-23,323.55,316.5,292.5,36.79,7.05,24.0,31.04,32.68,1.1852,,,
2025-12-24,322.7,316.2,292.4,36.23,6.5,23.8,30.64,32.58,1.1824,,,
